Membership No  Date Joined  Active  
    42418      2019-4-24    no    
    79856      2017-3-1     no    
    95676      2020-1-25    no    
    43013      2016-3-9     no    
    78649      2017-8-18    no    
    53767      2016-4-25    no    
    57094      2019-12-15   no    
    47864      2018-3-7     no    
    10688      2017-9-5     no    
    11692      2018-6-21    no    
    66342      2020-9-16    no    
    55042      2018-7-6     no    
    87173      2016-2-18    no    
