Membership No  Date Joined  Active  
    97286      2016-9-4     no    
    18554      2016-2-9     no    
    56166      2018-12-15   no    
    37922      2018-1-2     no    
    56863      2016-8-24    no    
    18488      2015-6-17    no    
    11450      2019-2-10    no    
    37156      2015-1-20    no    
    88279      2015-6-12    no    
    20516      2016-6-22    no    
    63258      2017-11-16   no    
    90559      2020-9-23    no    
    41818      2018-10-14   no    
    63524      2020-12-6    no    
